date,cnn_fng,vix,vvix,skew,nasdaq_close,kospi_close,sp500_close,russell2k_close,soxx_close,nasdaq_52w_high,kospi_52w_high,sp500_52w_high,russell2k_52w_high,soxx_52w_high,nasdaq_drop_pct,kospi_drop_pct,sp500_drop_pct,russell2k_drop_pct,soxx_drop_pct,tqqq_close,soxl_close,koru_close,smh_close,qqq_close,ewy_close,cnn_trigger,vix_trigger,margin_trigger,signal_count,sell_leverage_trigger,sell_leading_trigger,sell_expert_trigger,sell_signal_count,ratio_cash,ratio_core,ratio_sat,memo,stage
2025-07-11,75.26,16.4,93.53,144.96,20585.53,3175.77,6259.75,2234.83,245.14,20630.66,3183.23,6280.46,2263.41,245.52,-0.22,-0.23,-0.33,-1.26,-0.15,41.69,27.28,81.7,286.6,552.15,70.97,0,0,0,0,0,0,0,0,,,,,normal
2025-07-14,76.11,17.2,95.75,147.0,20640.33,3202.03,6268.56,2249.73,242.81,20640.33,3202.03,6280.46,2263.41,245.52,0.0,0.0,-0.19,-0.6,-1.1,42.13,26.49,83.83,284.43,554.15,71.59,0,0,0,0,0,0,0,0,,,,,normal
2025-07-15,73.49,17.38,94.66,143.72,20677.8,3215.28,6243.76,2205.05,245.23,20677.8,3215.28,6280.46,2263.41,245.52,0.0,0.0,-0.58,-2.58,-0.12,42.24,27.28,83.4,289.9,554.66,71.46,0,0,0,0,0,0,0,0,,,,,normal
2025-07-16,72.94,17.16,95.56,146.71,20730.49,3186.38,6263.7,2226.99,244.57,20730.49,3215.28,6280.46,2263.41,245.52,0.0,-0.9,-0.27,-1.61,-0.39,42.36,27.02,83.35,288.38,555.23,71.47,0,0,0,0,0,0,0,0,,,,,normal
2025-07-17,74.17,16.52,92.9,151.12,20885.65,3192.29,6297.36,2253.68,245.5,20885.65,3215.28,6297.36,2263.41,245.52,0.0,-0.72,0.0,-0.43,-0.01,43.34,27.31,83.16,290.81,559.72,71.46,0,0,0,0,0,0,0,0,,,,,normal
2025-07-18,73.94,16.41,93.15,150.45,20895.65,3188.07,6296.79,2240.01,245.7,20895.65,3215.28,6297.36,2263.41,245.7,0.0,-0.85,-0.01,-1.03,0.0,43.19,27.32,80.91,289.41,559.18,70.8,0,0,0,0,0,0,0,0,,,,,normal
2025-07-21,73.29,16.65,92.26,154.83,20974.18,3210.81,6305.6,2231.13,245.92,20974.18,3215.28,6305.6,2263.41,245.92,0.0,-0.14,0.0,-1.43,0.0,43.85,27.49,85.76,289.61,562.08,72.25,0,0,0,0,0,0,0,0,,,,,normal
2025-07-22,73.89,16.5,90.58,153.44,20892.69,3169.94,6309.62,2248.76,242.52,20974.18,3215.28,6309.62,2263.41,245.92,-0.39,-1.41,0.0,-0.65,-1.38,43.17,26.31,82.5,284.48,559.17,71.29,0,0,0,0,0,0,0,0,,,,,normal
2025-07-23,76.37,15.37,88.04,159.29,21020.02,3183.77,6358.91,2283.13,241.05,21020.02,3215.28,6358.91,2283.13,245.92,0.0,-0.98,0.0,0.0,-1.98,43.74,25.77,85.54,285.72,561.72,72.23,0,0,0,0,0,0,0,0,,,,,normal
2025-07-24,75.26,15.39,89.75,159.41,21057.96,3190.45,6363.35,2252.13,240.55,21057.96,3215.28,6363.35,2283.13,245.92,0.0,-0.77,0.0,-1.36,-2.18,44.03,25.61,83.74,286.91,562.92,71.7,0,0,0,0,0,0,0,0,,,,,normal
